Subject,Title,Content
IT_과학,lg전자 하이브리드 스마트워치 w7 발표국내 곧 출시,   lg전자가 전략 스마트폰 lg v40 씽큐를 발표하면서 새로운 스마트 워치도 함께 공개했다  3일 더 버지 등 외신에 따르면 lg전자는 미국 뉴욕에서 v40 씽큐와 공개와 함께 스마트워치 w7을 선보였다  이 제품은 아날로그 시계에 구글 웨어 os가 합쳐진 혼합형 제품이다 아날로그로 표시되는 초침과 시침 뒤의 화면을 통해 각종 알림과 애플리케이션 실행 등을 할 수 있는 점이 특징이다 화면 크기는 12인치며 360x360 해상도를 갖췄다  제품을 스마트 워치로 사용하면 최대 2일 동안 사용 가능하며 화면이 꺼진 상태로 시계만 사용하면 최대 100일까지 사용할 수 있다  w7은 스냅드래곤 웨어 2100 프로세서를 탑재했으며 768mb의 램과 4gb의 내부 저장 장치를 탑재했다 ip68 등급의 방수방진도 지원한다 또 표준 22mm 시계 밴드를 채택해 사용자가 원하는 밴드로 쉽게 교체할 수 있다  이 외에 가속도계 자이로 나침반 고도계 및 기압계 등을 제공하며 gps와 심박 센서는 탑재되지 않았다  미국에서는 오는 14일부터 450달러에 판매된다 국내에서도 조만간 선보일 예정이다 lg전자는 w7의 국내 출시 일정 및 가격 등을 검토 중이라고 말했다
IT_과학,단종된 아이폰se 후속 나올까출시설 모락모락,  지난해 아이폰 se가 단종되면서 출시 기대가 사라졌던 아이폰 se 2가 올 봄 출시될 가능성이 제기돼 관심을 모으고 있다  지난 11일 애플 및 소프트웨어 전문잡지 맥월드는 아이폰 se 2의 출시 일정과 사양 출고가 등을 보도했다  맥월드에 따르면 아이폰 se 2는 기존 제품보다 조금 더 커진 42인치 디스플레이가 탑재된다 ap는 아이폰7에 탑재됐던 a10 퓨전 칩이 들어갈 것으로 예상했다 또 기존과 달리 무선 충전과 최신 아이폰의 일부 기능이 탑재될 것으로 내다봤다  홈 버튼은 그대로 유지되며 저장 용량도 기존처럼 32gb와 128gb가 2종으로 출시될 것으로 전망했다   가격은 32gb 모델 399달러 128gb 모델 499달러로 예상했다 출시 시기는 오는 3월로 내다봤다
IT_과학,갤럭시s10 실물 사진 유출홀 디스플레이 탑재, 삼성전자의 차기 플래그십 스마트폰 갤럭시s10의 실물로 추정되는 사진이 유출됐다  3일 it관련 유명 트위터리안 에반 블레스는 자신의 트위터에 갤럭시s10 비욘드 1 이라며 한 장의 사진을 게재했다  비욘드1은 갤럭시s10의 코드명으로 사진 속 제품은 61인치 크기의 엣지 디스플레이가 적용된 갤럭시s10으로 예상된다 사진을 보면 기존에 알려진 데로 인피니티o 디스플레이가 적용됐다 셀피 카메라는 오른쪽 위에 위치하고 있다  또 눈에 띄는 점은 전작 대비 더 얇아진 상하단 베젤이다 특히 상단부는 양 측면과 비슷한 수준으로 얇아졌다 하단부는 상단부에 비해 다소 두껍지만 이 역시 전작보다 더 좁아졌다  한편 갤럭시s10은 3개의 모델로 출시될 전망이다 2가지 모델은 기존처럼 일반 모델과 화면이 커지고 일부 사양이 향상된 플러스 모델이다 나머지 1개의 모델은 엣지 디스플레이 대신 플랫 디스플레이가 적용된 제품으로 알려졌다 화면 크기는 일반 모델이 61인치 플러스 버전이 64인치가 된다 플랫 모델은 58인치로 예상된다  갤럭시 s10은 갤럭시 시리즈 최초로 스크린 내장 지문인식 센서가 장착된다 지문인식 센서는 광학식 대신 초음파식 센서가 탑재될 것으로 전망했다 배터리 용량은 확인되지 않았다 후면에는 트리플 카메라가 장착될 가능성이 크다  갤럭시s10의 예상 공개 날짜는 오는 2월 20일이다 이 날은 mwc 2019 개막 5일 전이다 그동안 삼성전자가 갤럭시를 공개했던 날보다 다소 이르지만 외신은 이날 선주문을 시작으로 3월 8일 정식 출시될 것이라고 전망했다
IT_과학,소니코리아 수제작 이어폰 저스트 이어 출시, 소니코리아가 사용자의 귀 모양을 분석해 맞춤형 디자인으로 제작해주는 이어폰 저스트 이어를 출시한다고 16일 밝혔다  저스트 이어는 개개인의 귀 모양에 맞는 맞춤형 제작을 통해 편안한 착용감을 제공하면서 완성도 높은 소리를 제공하는 점이 특징이다 깊은 저음과 선명한 중고음을 위해 하이브리드 음향 구조를 적용했다  제품 구매를 원하는 고객은 저스트 이어 전문점을 방문해 자신의 취향에 맞는 음향을 선택하고 귀 모양에 맞는 맞춤형 제작을 위한 자신의 귓본을 뜨게 된다 귓본은 오티콘 코리아의 전문 청각사가 제작한다 완성된 귓본은 일본의 저스트 이어 전담 장인에게 전달해 수작업을 통해 세상에 하나뿐인 이어폰으로 탄생하게 된다  저스트 이어는 오는 18일 정식 출시되며 가격은 239만원이다 주문 후 약 8주12주의 제작 기간이 소요된다 저스트 이어 전문점은 소니스토어 압구정 세예라자드 이어폰샵 사운드스토어 등 총 4곳이다
IT_과학,소니코리아 프리미엄 헤드폰 mdrz7m2 출시,   소니코리아가 프리미엄 헤드폰 mdrz7m2를 출시한다고 12일 밝혔다 판매 가격은 79만9000원이며 오는 13일일부터 18일까지 예약판매 후 20일 공식 판매를 시작한다  mdrz7m2는 하이 레졸루션 오디오를 지원하기 위해 플래그십 헤드폰 mdrz1r에 적용된 기술을 가져온 점이 특징이다 또한 새로 개발된 드라이버 유닛을 채용해 풍성한 중고음역대를 구현했으며 전작 보다 커진 진동판 돔으로 중저음역대에서도 선명한 소리를 낸다 피보나치 패턴 그릴을 장착해 고음부 왜곡도 했다  소니코리아 관계자는 mdrz7m2는 하이 레졸루션 오디오를 완벽하게 지원해 오디오 애호가들을 위한 최적의 제품이다라고 말했다  소니코리아는 mdrz7m2 출시를 기념해 단품 구매고객 전원에게 워크맨 nwa45를 사은품으로 증정한다 또 오는 20일부터 10월 31일까지로 기존에 사용하던 mdrz7을 반납하면 30만원 할인해주는 보상판매도 실시한다
IT_과학,it서비스 덕분에삼성sds 3q 매출영업익 증가,삼성sds가 지난 2분기에 이어 3분기에도 it서비스와 물류부문의 고른 성장을 이어갔다   삼성sds는 25일 잠정 실적 공시를 통해 3분기 매출액이 2조 3089억원 영업이익은 1923억원을 각각 기록했다고 밝혔다 전년 동기에 비해 매출액과 영업이익은 각각 154% 127% 증가했다   삼성sds에 따르면 it서비스와 물류bpo 모두 전년 동기 대비 성장세를 이어갔다   특히 it서비스 부문 성과가 두드러졌다 매출은 1조 2757억원으로 지난해 같은 기간에 비해 128%가 증가했고 영업이익은 546%가 증가한 1813억원을 기록했다 솔루션 사업 확대 아웃소싱 운영 효율화 및 개발역량 강화가 it서비스 부문 성장을 이끌었다는 분석이다   물류bpo 부문은 유럽지역 판매물류 확대와 대외 사업 영향으로 전년 동기 대비 187% 늘어나 1를 유지했다   삼성sds 관계자는 통상 3분기에는 계절적인 요인으로 매출이 전분기보다 줄어 드는 경향을 보이지만 올해는 직전 분기대비 매출은 27% 감소했음에도 불구 영업이익은 35% 늘었다며 분기별로 보면 지속적인 성장세를 이어오고 있다고 밝혔다 
IT_과학,소니코리아 수제작 이어폰 저스트 이어 출시, 소니코리아가 사용자의 귀 모양을 분석해 맞춤형 디자인으로 제작해주는 이어폰 저스트 이어를 출시한다고 16일 밝혔다  저스트 이어는 개개인의 귀 모양에 맞는 맞춤형 제작을 통해 편안한 착용감을 제공하면서 완성도 높은 소리를 제공하는 점이 특징이다 깊은 저음과 선명한 중고음을 위해 하이브리드 음향 구조를 적용했다  제품 구매를 원하는 고객은 저스트 이어 전문점을 방문해 자신의 취향에 맞는 음향을 선택하고 귀 모양에 맞는 맞춤형 제작을 위한 자신의 귓본을 뜨게 된다 귓본은 오티콘 코리아의 전문 청각사가 제작한다 완성된 귓본은 일본의 저스트 이어 전담 장인에게 전달해 수작업을 통해 세상에 하나뿐인 이어폰으로 탄생하게 된다  저스트 이어는 오는 18일 정식 출시되며 가격은 239만원이다 주문 후 약 8주12주의 제작 기간이 소요된다 저스트 이어 전문점은 소니스토어 압구정 세예라자드 이어폰샵 사운드스토어 등 총 4곳이다
IT_과학,아이폰 xs 맥스 가격도 맥스200만원 돌파, 애플이 공개한 아이폰 신제품 3종 중 가장 비싼 아이폰 xs 맥스의 국내 출시가격이 최대 200만원에 넘을 것으로 전망된다 프리미엄 제품군인 아이폰 x는 올해 저장 용량을 512gb까지 선택할 수 있게 되면서 역대 최대 가격을 갱신할 것으로 예상된다  12일 애플은 미국 캘리포니아주 쿠퍼티노 애플 신사옥 내 스티브잡스 극장에서 새로운 아이폰 xsxs 맥스 xr를 선보이며 출시일과 가격정보를 공개했다  아이폰 xs의 가격은 미국 기준 999달러부터 시작하며 xs 맥스는 이보다 100달러 비싼 1099달러 부터 판매된다 여기서 이번에 처음으로 선택할 수 있게된 512gb의 저장용량을 선택하면 아이폰 xs 맥스의 가격은 1499달러가 된다  13일 환율을 기준으로 이 금액은 약 168만원으로 부가세와 세금이 포함되지 않은 가격이다 따라서 한국식으로 10%의 부가세를 더하면 약 185만원에 이른다  하지만 애플의 적용 환율을 좀 다르다 작년에 출시했던 아이폰 x을 살펴보면 미국 판매 가격과 국내 판매 가격에서 약 21만원 가량 차이가 난다 아이폰 x의 256gb의 미국 판매 가격은 1149달러 였다 한화로 계산하면 129만원이다 여기서 부가세 10%를 더해도 약 142만원이지만 국내 판매 가격은 163만원이었다  아이폰 xs의 미국 판매 가격이 작년 아이폰 x과 같기 때문에 올해도 큰 변화가 없다면 비슷한 형태로 가격이 책정될 가능성이 높다 이런 방식으로 가격을 계산해보면 아이폰 xs 맥스 512gb는 206만원에 육박해 역대 아이폰 중 가장 비싼 아이폰이 될 전망이다  아이폰 xs는 작년 아이폰 x 시작가와 같은 142만원이 유력시된다 함께 공개된 xr는 가격은 749달러부터다 국내 출시 가격은 부가세를 포함해 100만원 안팎으로 예상된다 
IT_과학,후지필름 초고속 망원 렌즈 xf200mmf2 r lm ois wr 출시, 후지필름 일렉트로닉 이미징 코리아는 초고속 망원 단렌즈 xf200mmf2 r lm ois wr을 출시한다고 1일 밝혔다  후지논 xf200mmf2 r lm ois wr은 35mm 환산 기준 305mm 초점 거리와 f20의 밝은 조리개를 지원하는 대구경 렌즈다 높은 해상력과 뛰어난 보케 효과를 제공해 역동적인 스포츠나 야생 동물 촬영에 제격이다  초점 재조정 없이 피사체를 캡처할 수 있는 초점 사전 설정 기능을 탑재했으며 카메라를 사용하지 않을 때 초점 모터를 고정하는 기술을 적용해 불필요한 진동을 감소시켜준다  망원 촬영 시 흔히 겪을 수 있는 흔들림을 5 스탑의 손 떨림 보정으로 잡아준다 렌즈를 고정한 상태에서 좌우로만 움직이는 패닝 촬영이나 삼각대 촬영 등 다양한 촬영 환경을 인식해 그에 맞는 손 떨림 방지 기능이 작동된다  마그네슘 합금의 배럴을 사용해 가벼우면서도 우수한 내구성을 갖췄다 이 외에 전면 불소 코팅과 렌즈 배럴의 17곳을 밀폐 처리해 방수방진 기능은 지원하며 영하 10도에서도 견딘다  렌즈 가격은 729만9000원이며 청담동 후지필름 스튜디오와 전국 후지필름 판매처  쇼핑몰을 통해 구매할 수 있다
IT_과학,니콘 소비자 체험 행사 디지털 라이브 2018 개최,니콘이미징코리아가 오는 29일과 30일 양일간 서울 강남구 sc컨벤션센터에서 소비자 체험행사인 니콘 디지털 라이브 2018을 개최한다고 17일 밝혔다  니콘 디지털 라이브는 2007년부터 니콘이미징코리아가 단독 개최하는 대규모 소비자 체험행사다  올해 행사는 지난달 28일 발표한 z 시리즈를 가장 먼저 경험할 수 있는 제품 체험공간과 카메라 활용법 및 사진 촬영 기술을 배울 수 있는 전문사진 작가의 특별 강연 현장 이벤트가 상시 진행되는 니콘 스튜디오 등으로 구성됐다  제품 체험공간에서는 풀프레임 미러리스 카메라 z7z6와 dslr 카메라 d5d850 쿨픽스 p1000 등 다양한 카메라와 z 마운트f 마운트 렌즈 등을 체험할 수 있다  주 무대에서는  이전호 오중석 등 전문 사진작가들이 z 시리즈 활용법을 비롯해 풍경 패션 타임랩스 등을 주제로 강연을 하며 니콘스쿨에서는 z7의 핵심 기능을 한눈에 파악할 수 있는 제품 시연이 진행된다  니콘 스튜디오는 프로필 사진촬영이 가능한 니콘 사진관과 보관 중인 필름을 지참할 경우 고화질의 디지털 데이터로 변환해주는 디지털 필름 현상소로 꾸며진다  행사는 sc컨벤션센터 지하 1층에 있는 국제회의장에서 매일 오전 10시 30분부터 오후 6시 30분까지 열리며 누구나 무료로 관람할 수 있다
